formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
pit,2876,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,none,,,,,6fc6175a-b000-6809-a475-3032f8ca3228,1-74128f64cab5d405c05c2ab7a8aa09f9
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,708a7d84-4a53-797c-2927-6fb2b2f5cb99,1-04d5449e3d806d35a9b183f1c8c4911a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,728f3d4d-6ff8-8b72-298a-c43a7d8e8bd6,1-ad13cd68f9ee49d83b19d02f22a149fc
match,5563,14,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,Did nothing.,N,none,,,,,,,,,,736a6701-4dee-8a96-f80f-fd3a93bd42bc,1-9e09a117e31e83b1360a1ea64710ff5b
match,246,14,YES,on,0,0,0,0,0,0,2,0,0,0,1,0,on,on,,M,none,,,,,,,,,,742fc5b4-d41c-999e-7ea3-fd7fb236f424,1-d8929959d26c45673b98a41fe1f7be58
pit,97,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,none,,,,,748a7c27-d1a3-7d73-d22c-e075d0818d3c,1-d47a705e2a4f8b78d072099977b5ba5c
match,5563,11,on,on,0,0,0,0,0,0,0,0,0,0,0,4,on,on,,N,none,,,,,,,,,,7550d7d9-681f-6bd8-e942-540f59c0f012,1-8f3397a53f954a98f19b22fcf9744c70
pit,6161,,,,,,,,,,,,,,,,,,,,,,on,traction,DR,none,,,,,75e442c1-5168-074f-44a6-4b351ef7c63a,1-4172142bf0c8ec03e62a6cda11b78846
match,4151,11,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,didn't move,N,none,,,,,,,,,,764ac246-3bce-f64a-aa9c-d042cc991092,1-480af2097c262b42f6ad0d21ddbc3c34
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,7683c0a6-f61e-b2f1-0802-3b96062d9a09,1-0c38a4072869fa528f61f5c23cda29d0
pit,6201,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,none,,,,,77b3e4f3-17d8-b82c-1fd1-6854814543bb,1-21668740e392857d108a875f56ed9c46
